"ここで地下鉄に乗り換えて下さい。","ここで 地下鉄[ちかてつ]に 乗[の]り 換[か]えて 下[くだ]さい。","Please transfer here to the metro.<br><br>乗[の]り 換[か]える - to transfer","Por favor, transfiérase aquí al metro.<br><br>乗[の]り[か[える] 換[か]える - para transferir","[sound:JLPT_Tango_N4_0470.mp3]","","単語N4"
"この電車はラッシュでも座れます。","この 電車[でんしゃ]はラッシュでも 座[すわ]れます。","You can find a seat on this train even during rush hour.<br><br>ラッシュ  - rush hour","Puedes encontrar un asiento en este tren incluso en hora punta.<br><br>ラッシュ  - hora punta","[sound:JLPT_Tango_N4_0471.mp3]","","単語N4"
"朝の電車はとても混んでいます。","朝[あさ]の 電車[でんしゃ]はとても 混[こ]んでいます。","The morning trains are really crowded.<br><br>混[こ]む - to be crowded","Los trenes de la mañana están realmente llenos.<br><br>混[こ]む - estar lleno de gente","[sound:JLPT_Tango_N4_0472.mp3]","","単語N4"
"このバスはいつも空いています。","このバスはいつも 空[す]いています。","This bus is always empty.<br><br>空[す]く - to become empty","Este bus siempre está vacío.<br><br>空[す]く - para quedar vacío","[sound:JLPT_Tango_N4_0473.mp3]","","単語N4"
"この駅には色々な電車が通っています。","この 駅[えき]には 色々[いろいろ]な 電車[でんしゃ]が 通[とお]っています。","Many different trains pass through this station.<br><br>通[とお]る - to pass through","Muchos trenes diferentes pasan por esta estación.<br><br>通[とお]る - para pasar por","[sound:JLPT_Tango_N4_0474.mp3]","","単語N4"
"A駅を過ぎたら、電車が空きました。","A 駅[えき]を 過[す]ぎたら、 電車[でんしゃ]が 空[す]きました。","Once it passed A Station, the train emptied.<br><br>過[す]ぎる - to pass","Una vez que pasó la estación A, el tren se vació.<br><br>過[す]ぎる - para pasar","[sound:JLPT_Tango_N4_0475.mp3]","","単語N4"
"次の駅で右のドアが開きます。","次[つぎ]の 駅[えき]で 右[みぎ]のドアが 開[あ]きます。","Doors on the right side will open at the next stop.<br><br>開[あ]く - to open","Las puertas del lado derecho se abrirán en la siguiente parada.<br><br>開[あ]く - para abrir","[sound:JLPT_Tango_N4_0476.mp3]","","単語N4"
"暑いので、窓を開けましょう。","暑[あつ]いので、 窓[まど]を 開[あ]けましょう。","""It's hot, so let's open a window.<br><br>開[あ]ける - to open, to make open""","Hace calor, así que vamos a abrir una ventana.<br><br>開[あ]ける - abrir, hacer abrir","[sound:JLPT_Tango_N4_0477.mp3]","","単語N4"
"右側のドアが閉まります。","右側[みぎがわ]のドアが 閉[し]まります。","Doors on the right side will close.<br><br>閉[し]まる - to close","Las puertas del lado derecho se cerrarán.<br><br>閉[し]まる - para cerrar","[sound:JLPT_Tango_N4_0478.mp3]","","単語N4"
"寒いので、窓を閉めて下さい。","寒[さむ]いので、 窓[まど]を 閉[し]めて 下[くだ]さい。","""It's cold, so please shut the window.<br><br>閉[し]める - to close, to make close, to shut""","Hace frío, así que por favor cierra la ventana.<br><br>閉[し]める - cerrar, hacer cerrar, cerrar","[sound:JLPT_Tango_N4_0479.mp3]","","単語N4"
"子供の時、バスの運転手に成りたかったです。","子供[こども]の 時[とき]、バスの 運転[うんてん] 手[しゅ]に 成[な]りたかったです。","When I was a child, I wanted to be a bus driver.<br><br>運転[うんてん] 手[しゅ] - driver","Cuando era niño, quería ser conductor de autobús.<br><br>運転[うんてん] 手[しゅ] - conductor","[sound:JLPT_Tango_N4_0480.mp3]","","単語N4"
"このバスは外国人のお客さんが多いです。","このバスは 外国[がいこく] 人[じん]のお 客[きゃく]さんが 多[おお]いです。","There are many foreign passengers on this bus.<br><br>お 客[きゃく]さん - passenger, customer<br><br>In order of politeness (least polite to most polite), 客[きゃく] → お 客[きゃく]さん → お 客[きゃく] 様[さま] are used.","Hay muchos pasajeros extranjeros en este autobús.<br><br>お 客[きゃく]さん - pasajero, cliente<br><br>En orden de cortesía (de menos a más educado), 客[きゃく] → お[きゃく] 客[きゃく]さん → お 客[きゃく] 様[さま] se utilizan.","[sound:JLPT_Tango_N4_0481.mp3]","","単語N4"
"この飛行機にまだ席はありますか。","この 飛行機[ひこうき]にまだ 席[せき]はありますか。","Are there still seats on this plane?<br><br>席[せき] - seat","¿Todavía hay asientos en este avión? <br><br>席[せき] - asiento","[sound:JLPT_Tango_N4_0482.mp3]","","単語N4"
"大人２枚と子供２枚、切符を下さい。","大人[おとな]２ 枚[まい]と 子供[こども]２ 枚[まい]、 切符[きっぷ]を 下[くだ]さい。","""Please give me two adult tickets and two children's tickets.<br><br>大人[おとな] - adult""","Por favor, dame dos entradas de adulto y dos entradas de niño.<br><br>大人[おとな] - adulto","[sound:JLPT_Tango_N4_0483.mp3]","","単語N4"
"ここはお年寄りの為の席です。","ここはお 年寄[としよ]りの 為[ため]の 席[せき]です。","These seats are for elderly people.<br><br>お 年寄[としよ]り - senior citizen, elderly person","Estos asientos son para personas mayores.<br><br>お 年寄[としよ]り - persona mayor, persona de la tercera edad","[sound:JLPT_Tango_N4_0484.mp3]","","単語N4"
"道が混んでいて、車が前に進めません。","道[みち]が 混[こ]んでいて、 車[くるま]が 前[まえ]に 進[すす]めません。","""The road is congested, so the cars can't move forward.<br><br>進[すす]む - to proceed, to move forward""","La carretera está congestionada, por lo que los coches no pueden avanzar.<br><br>進[すす]む - proceder, avanzar","[sound:JLPT_Tango_N4_0485.mp3]","","単語N4"
"今、車で空港に向かっています。","今[いま]、 車[くるま]で 空港[くうこう]に 向[む]かっています。","""I'm heading to the airport in a car now.<br><br>向[む]かう - to head to""","Me dirijo al aeropuerto en un coche ahora.<br><br>[向[む]かう - para dirigirse a","[sound:JLPT_Tango_N4_0486.mp3]","","単語N4"
"バス停の近くに車を止めてはいけません。","バス 停[てい]の 近[ちか]くに 車[くるま]を 止[と]めてはいけません。","""You mustn't park your car near a bus stop.<br><br>止[と]める - to stop, to make stop""","No debes aparcar tu coche cerca de una parada de autobús.<br><br>止[と]める - parar, hacer parar","[sound:JLPT_Tango_N4_0487.mp3]","","単語N4"
"道に大きいバスが止まっています。","道[みち]に 大[おお]きいバスが 止[と]まっています。","There is a big bus parked in the street.<br><br>止[と]まる - to stop, to come to a stop","Hay un gran autobús aparcado en la calle.<br><br>止[と]まる - parar, detenerse","[sound:JLPT_Tango_N4_0488.mp3]","","単語N4"
"この荷物を一緒に運んで下さい。","この 荷物[にもつ]を 一緒[いっしょ]に 運[はこ]んで 下[くだ]さい。","Please carry this luggage along, too.<br><br>運[はこ]ぶ - to carry","Por favor, lleve este equipaje también.<br><br>運[はこ]ぶ - para llevar","[sound:JLPT_Tango_N4_0489.mp3]","","単語N4"
"リモコンで車のドアを操作します。","リモコンで 車[くるま]のドアを 操作[そうさ]します。","The car doors are operated by a remote control.<br><br>操作[そうさ]＜する＞ - operation","Las puertas del coche se accionan con un mando a distancia.<br><br>操作[そうさ]＜する＞ - funcionamiento","[sound:JLPT_Tango_N4_0490.mp3]","","単語N4"
"車のハンドルを回します。","車[くるま]のハンドルを 回[まわ]します。","I turn the wheel of the car.<br><br>回[まわ]す - to turn","Giro el volante del coche.<br><br>回[まわ]す - girar","[sound:JLPT_Tango_N4_0491.mp3]","","単語N4"
"昨日、道で事故を見てしまいました。","昨日[きのう]、 道[みち]で 事故[じこ]を 見[み]てしまいました。","Yesterday, I saw an accident on the street.<br><br>事故[じこ] - accident","Ayer, vi un accidente en la calle.<br><br>事故[じこ] - accidente","[sound:JLPT_Tango_N4_0492.mp3]","","単語N4"
"交差点で事故に遭ってしまいました。","交差点[こうさてん]で 事故[じこ]に 遭[あ]ってしまいました。","I got into an accident at an intersection.<br><br>（ 事故[じこ]に） 遭[あ]う - to get into an accident","Tuve un accidente en una intersección.<br><br>（ 事故[じこ]に） 遭[あ]う - tener un accidente","[sound:JLPT_Tango_N4_0493.mp3]","","単語N4"
"信号の所で２台のタクシーが打つかりました。","信号[しんごう]の 所[ところ]で２ 台[だい]のタクシーが 打[ぶ]つかりました。","Two taxis hit each other at the traffic light.<br><br>打[ぶ]つかる - to bump into something, to hit","Dos taxis chocaron en el semáforo.<br><br>打[ぶ]つかる - chocar con algo, golpear","[sound:JLPT_Tango_N4_0494.mp3]","","単語N4"
"雪の日は滑りやすいです。","雪[ゆき]の 日[ひ]は 滑[すべ]りやすいです。","""It's easy to slip on snowy days.<br><br>滑[すべ]る - to slip""","Es fácil resbalar en días de nieve.<br><br>滑[すべ]る - resbalar","[sound:JLPT_Tango_N4_0495.mp3]","","単語N4"
"姉に赤ちゃんが生まれました。","姉[あね]に 赤[あか]ちゃんが 生[う]まれました。","My older sister had a baby.<br><br>赤[あか]ちゃん - baby","Mi hermana mayor tuvo un bebé.<br><br>[赤[あか]ちゃん - bebé","[sound:JLPT_Tango_N4_0499.mp3]","","単語N4"
"また車が故障しました。","また 車[くるま]が 故障[こしょう]しました。","My care broke down again.<br><br>故障[こしょう]＜する＞ - break down, disrepair","Mi cuidado se rompió de nuevo.<br><br>故障[こしょう]＜する＞ - romper, estropear","[sound:JLPT_Tango_N4_0500.mp3]","","単語N4"
"空港に行く途中で事故を見ました。","空港[くうこう]に 行[い]く 途中[とちゅう]で 事故[じこ]を 見[み]ました。","I saw an accident on the way to the airport.<br><br>途中[とちゅう] - in the middle of, on the way","Vi un accidente de camino al aeropuerto.<br><br>途中[とちゅう] - en medio de, en el camino","[sound:JLPT_Tango_N4_0501.mp3]","","単語N4"
"行きは道が空いていました。","行[い]きは 道[みち]が 空[す]いていました。","The streets were empty going there.<br><br>行[い]き - ~bound, bound for ~, on the way to","Las calles estaban vacías yendo hacia allí.<br><br>行[い]き - ~en dirección a ~, de camino a","[sound:JLPT_Tango_N4_0502.mp3]","","単語N4"
"帰りはとても混んでいました。","帰[がえ]りはとても 混[こ]んでいました。","On the way home, it was very crowded.<br><br>帰[かえ]り - on the way back","En el camino a casa, había mucha gente.<br><br>帰[かえ]り - en el camino de vuelta","[sound:JLPT_Tango_N4_0503.mp3]","","単語N4"
"ガソリンの値段がまた上がりました。","ガソリンの 値段[ねだん]がまた 上[あ]がりました。","The price of gas has risen again.<br><br>ガソリン - gasoline","El precio de la gasolina ha vuelto a subir.<br><br>ガソリン - gasolina","[sound:JLPT_Tango_N4_0504.mp3]","","単語N4"
"あの車はエンジンの音が大きいです。","あの 車[くるま]はエンジンの 音[おと]が 大[おお]きいです。","The engine in that car is loud.<br><br>エンジン - engine","El motor de ese coche es ruidoso.<br><br>エンジン - motor","[sound:JLPT_Tango_N4_0505.mp3]","","単語N4"
"信号はまだ赤です。","信号[しんごう]はまだ 赤[あか]です。","The traffic light is still red.<br><br>信号[しんごう] - traffic light","El semáforo sigue en rojo.<br><br>信号[しんごう] - semáforo","[sound:JLPT_Tango_N4_0506.mp3]","","単語N4"
"美術館では矢印を見て、進んで下さい。","美術館[びじゅつかん]では 矢印[やじるし]を 見[み]て、 進[すす]んで 下[くだ]さい。","In the art museum, please proceed by looking at (and following) the arrows.<br><br>矢印[やじるし] - arrow","En el museo de arte, proceda mirando (y siguiendo) las flechas.<br><br>矢印[やじるし] - flecha","[sound:JLPT_Tango_N4_0507.mp3]","","単語N4"
"ここから彼女の家まで２キロあります。","ここから 彼女[かのじょ]の 家[いえ]まで２キロあります。","There are two kilometers from here to her house.<br><br>キロ - kilometer<br><br>This can be used as an abbreviation for both kilometers and kilograms.","Hay dos kilómetros desde aquí hasta su casa.<br><br>キロ - kilómetro<br><br>Se puede utilizar como abreviatura tanto de kilómetros como de kilogramos.","[sound:JLPT_Tango_N4_0508.mp3]","","単語N4"
"日本の人口は少なくなっています。","日本[にほん]の 人口[じんこう]は 少[すく]なくなっています。","""Japan's population is getting smaller.<br><br>人口[じんこう] - population""","La población de Japón se está reduciendo.<br><br>人口[じんこう] - población","[sound:JLPT_Tango_N4_0509.mp3]","","単語N4"
"世界には７０億人の人が住んでいます。","世界[せかい]には７０ 億[おく] 人[にん]の 人[ひと]が 住[す]んでいます。","There are 7,000,000,000 people in the world.<br><br>億[おく] - hundred million, 100,000,000","Hay 7.000.000.000 de personas en el mundo.<br><br>億[おく] - cien millones, 100.000.000","[sound:JLPT_Tango_N4_0510.mp3]","","単語N4"
"アジアの経済はこれからどうなると思いますか。","アジアの 経済[けいざい]はこれからどうなると 思[おも]いますか。","""What do you think will happen to Asia's economy from now?<br><br>経済[けいざい] - economy""","¿Qué crees que pasará con la economía de Asia a partir de ahora?<br><br>経済[けいざい] - economía","[sound:JLPT_Tango_N4_0511.mp3]","","単語N4"
"大学を卒業して、貿易の仕事がしたいです。","大学[だいがく]を 卒業[そつぎょう]して、 貿易[ぼうえき]の 仕事[しごと]がしたいです。","I want to graduate from university and work in trade.<br><br>貿易[ぼうえき]＜する＞ - trade","Quiero graduarme en la universidad y trabajar en el comercio.<br><br>貿易[ぼうえき]＜する＞ - comercio","[sound:JLPT_Tango_N4_0512.mp3]","","単語N4"
"日本は車を沢山輸出しています。","日本[にほん]は 車[くるま]を 沢山[たくさん] 輸出[ゆしゅつ]しています。","Japan exports a lot of cars.<br><br>輸出[ゆしゅつ]＜する＞ - exporting","Japón exporta muchos coches.<br><br>輸出[ゆしゅつ]＜する＞ - exportar","[sound:JLPT_Tango_N4_0513.mp3]","","単語N4"
"日本は石油や原料を輸入しています。","日本[にほん]は 石油[せきゆ]や 原料[げんりょう]を 輸入[ゆにゅう]しています。","Japan imports things like oil and raw materials.<br><br>輸入[ゆにゅう]＜する＞ - importing","Japón importa cosas como el petróleo y las materias primas.<br><br>輸入[ゆにゅう]＜する＞ - importar","[sound:JLPT_Tango_N4_0514.mp3]","","単語N4"
"A社はビールの原料を輸入しています。","A 社[しゃ]はビールの 原料[げんりょう]を 輸入[ゆにゅう]しています。","A Company imports its raw materials for beer.<br><br>原料[げんりょう] - raw materials","Una empresa importa sus materias primas para la cerveza.<br><br>原料[げんりょう] - materias primas","[sound:JLPT_Tango_N4_0515.mp3]","","単語N4"
"また石油の値段が上がっています。","また 石油[せきゆ]の 値段[ねだん]が 上[あ]がっています。","The price of oil has gone up again.<br><br>石油[せきゆ] - oil, petroleum","El precio del petróleo ha vuelto a subir.<br><br>石油[せきゆ] - petróleo, aceite","[sound:JLPT_Tango_N4_0516.mp3]","","単語N4"
"この国は物価が高いです。","この 国[くに]は 物価[ぶっか]が 高[たか]いです。","The cost of living in this country is high.<br><br>物価[ぶっか] - price of commodities, cost of living","El coste de la vida en este país es alto.<br><br>物価[ぶっか] - precio de los productos básicos, coste de la vida","[sound:JLPT_Tango_N4_0517.mp3]","","単語N4"
"日本の政治を勉強しています。","日本[にほん]の 政治[せいじ]を 勉強[べんきょう]しています。","""I'm studying Japanese politics.<br><br>政治[せいじ] - politics""","Estoy estudiando política japonesa.<br><br>政治[せいじ] - política","[sound:JLPT_Tango_N4_0518.mp3]","","単語N4"
"日本とイギリスの首相が挨拶しました。","日本[にほん]とイギリスの 首相[しゅしょう]が 挨拶[あいさつ]しました。","The prime ministers of Japan and England greeted each other.<br><br>首相[しゅしょう] - prime minister","Los primeros ministros de Japón e Inglaterra se saludaron.<br><br>首相[しゅしょう] - primer ministro","[sound:JLPT_Tango_N4_0519.mp3]","","単語N4"
"A国の大統領が日本へ来ます。","A 国[こく]の 大統領[だいとうりょう]が 日本[にほん]へ 来[き]ます。","The president of A Country came to Japan.<br><br>大統領[だいとうりょう] - president","El presidente de Un País llegó a Japón.<br><br>大統領[だいとうりょう] - presidente","[sound:JLPT_Tango_N4_0520.mp3]","","単語N4"
"戦争がない世界がいいです。","戦争[せんそう]がない 世界[せかい]がいいです。","""I'd like to see a world without war.<br><br>戦争[せんそう] - war""","Me gustaría ver un mundo sin guerra.<br><br>戦争[せんそう] - guerra","[sound:JLPT_Tango_N4_0522.mp3]","","単語N4"
"外国の文化を知りたいです。","外国[がいこく]の 文化[ぶんか]を 知[し]りたいです。","I want to know about foreign cultures.<br><br>文化[ぶんか] - culture","Quiero saber sobre las culturas extranjeras.<br><br>文化[ぶんか] - cultura","[sound:JLPT_Tango_N4_0523.mp3]","","単語N4"
"日本に世界遺産は幾つありますか。","日本[にほん]に 世界[せかい] 遺産[いさん]は 幾[いく]つありますか。","How many World Heritage Sites are there in Japan?<br><br>世界[せかい] 遺産[いさん] - World Heritage Site","¿Cuántos sitios del Patrimonio Mundial hay en Japón? <br><br>世界[せかい] 遺産[いさん] - Sitio del Patrimonio Mundial","[sound:JLPT_Tango_N4_0524.mp3]","","単語N4"
"２００１年から２１世紀が始まっています。","２００１ 年[ねん]から２１ 世紀[せいき]が 始[はじ]まっています。","The 21st century started in 2001.<br><br>世紀[せいき] - century","El siglo XXI comenzó en 2001.<br><br>世紀[せいき] - siglo","[sound:JLPT_Tango_N4_0525.mp3]","","単語N4"
"今はロボットが働く時代です。","今[いま]はロボットが 働[はたら]く 時代[じだい]です。","This is the age of working robots.<br><br>時代[じだい] - period, age","Esta es la edad de los robots que trabajan.<br><br>時代[じだい] - período, edad","[sound:JLPT_Tango_N4_0526.mp3]","","単語N4"
"留学して、国際的な仕事がしたいです。","留学[りゅうがく]して、 国際[こくさい] 的[てき]な 仕事[しごと]がしたいです。","I want to go on an exchange and find an international job.<br><br>国際[こくさい] - international","Quiero ir de intercambio y encontrar un trabajo internacional.<br><br>国際[こくさい] - internacional","[sound:JLPT_Tango_N4_0527.mp3]","","単語N4"
"世界中に友達を作りましょう。","世界中[せかいじゅう]に 友達[ともだち]を 作[つく]りましょう。","""Let's make friends around the world.<br><br>世界中[せかいじゅう] - around the world""","Hagamos amigos alrededor del mundo.<br><br>世界中[せかいじゅう] - alrededor del mundo","[sound:JLPT_Tango_N4_0528.mp3]","","単語N4"
"田中さんのメールアドレスを知っていますか。","田中[たなか]さんのメールアドレスを 知[し]っていますか。","""Do you know Tanaka-san's mail address?<br><br>メールアドレス - mail address""","¿Sabes la dirección de correo de Tanaka-san? <br><br>メールアドレス - dirección de correo","[sound:JLPT_Tango_N4_0529.mp3]","","単語N4"
"友達からメールの返事が中々来ません。","友達[ともだち]からメールの 返事[へんじ]が 中々[なかなか] 来[き]ません。","""My friend won't respond to my mail.<br><br>返事[へんじ]＜する＞ - reply""","Mi amigo no responde a mi correo.<br><br>返事[へんじ]＜する＞ - respuesta","[sound:JLPT_Tango_N4_0530.mp3]","","単語N4"
"彼女とは友達の紹介で知り合いました。","彼女[かのじょ]とは 友達[ともだち]の 紹介[しょうかい]で 知[し]り 合[あ]いました。","I was introduced to her by a friend.<br><br>知[し]り 合[あ]う - to get to know","Me la presentó un amigo.<br><br>知[し]り[あ[う 合[あ]う - para conocer","[sound:JLPT_Tango_N4_0531.mp3]","","単語N4"
"友達に彼女を紹介してもらいました。","友達[ともだち]に 彼女[かのじょ]を 紹介[しょうかい]してもらいました。","A friend introduced her to me.<br><br>紹介[しょうかい]＜する＞ - introduction","Un amigo me la presentó.<br><br>紹介[しょうかい]＜する＞ - introducción","[sound:JLPT_Tango_N4_0532.mp3]","","単語N4"
"その靴は今日の服に合いますね。","その 靴[くつ]は 今日[きょう]の 服[ふく]に 合[あ]いますね。","""Those shoes go well with the clothes you're wearing today.<br><br>合[あ]う - to go well with""","Esos zapatos van bien con la ropa que llevas hoy.<br><br>合[あ]う - para ir bien con","[sound:JLPT_Tango_N4_0533.mp3]","","単語N4"
"私は母に何でも相談しています。","私[わたし]は 母[はは]に 何[なん]でも 相談[そうだん]しています。","I consult with my mother about everything.<br><br>相談[そうだん]＜する＞ - consultation","Lo consulto todo con mi madre.<br><br>相談[そうだん]＜する＞ - consulta","[sound:JLPT_Tango_N4_0534.mp3]","","単語N4"
"みんな彼の結婚に賛成しています。","みんな 彼[かれ]の 結婚[けっこん]に 賛成[さんせい]しています。","Everyone is in agreement with his marriage.<br><br>賛成[さんせい]＜する＞ - agreement","Todos están de acuerdo con su matrimonio.<br><br>賛成[さんせい]＜する＞ - acuerdo","[sound:JLPT_Tango_N4_0535.mp3]","","単語N4"
"私の留学に家族は反対していました。","私[わたし]の 留学[りゅうがく]に 家族[かぞく]は 反対[はんたい]していました。","My parents were against my going on an exchange.<br><br>反対[はんたい]＜する＞ - opposition","Mis padres estaban en contra de que me fuera de intercambio.<br><br>[反対[はんたい]＜する＞ - oposición","[sound:JLPT_Tango_N4_0536.mp3]","","単語N4"
"中国の友達の家を訪ねたいです。","中国[ちゅうごく]の 友達[ともだち]の 家[いえ]を 訪[たず]ねたいです。","""I want to visit my Chinese friend's house.<br><br>訪[たず]ねる - to visit""","Quiero visitar la casa de mi amigo chino.<br><br>訪[たず]ねる - visitar","[sound:JLPT_Tango_N4_0537.mp3]","","単語N4"
"来月、国の友達に東京を案内します。","来月[らいげつ]、 国[くに]の 友達[ともだち]に 東京[とうきょう]を 案内[あんない]します。","""Next month, I'm going to show my friend from my country around Tokyo.<br><br>案内[あんない]＜する＞ - guidance""","El próximo mes, voy a mostrar a mi amigo de mi país por Tokio.<br><br>案内[あんない]＜する＞ - orientación","[sound:JLPT_Tango_N4_0538.mp3]","","単語N4"
"父の日にネクタイを上げました。","父[ちち]の 日[ひ]にネクタイを 上[あ]げました。","""I gave my dad a necktie for Father's Day.<br><br>上[あ]げる - to give""","Le regalé a mi padre una corbata para el Día del Padre.<br><br>上[あ]げる - para regalar","[sound:JLPT_Tango_N4_0539.mp3]","","単語N4"
"誕生日に姉は何も呉れませんでした。","誕生[たんじょう] 日[び]に 姉[あね]は 何[なに]も 呉[く]れませんでした。","""My older sister didn't give me anything for my birthday.<br><br>呉[く]れる - to give, to be given""","Mi hermana mayor no me ha regalado nada por mi cumpleaños.<br><br>呉[く]れる - regalar, ser regalado","[sound:JLPT_Tango_N4_0540.mp3]","","単語N4"
"このペンは友達に貰いました。","このペンは 友達[ともだち]に 貰[もら]いました。","I got this pen from my friend.<br><br>貰[もら]う - to receive","Recibí este bolígrafo de mi amigo.<br><br>貰[もら]う - para recibir","[sound:JLPT_Tango_N4_0541.mp3]","","単語N4"
"国に帰る友達に何を贈ったらいいですか。","国[くに]に 帰[かえ]る 友達[ともだち]に 何[なに]を 贈[おく]ったらいいですか。","What should I give my friend who is going back to her home country?<br><br>贈[おく]る - to present, to give (as a gift)<br><br>プレゼントする is only used for physical objects, but  贈[おく]る can be used to refer to feelings of gratitude as well.","¿Qué debo regalar a mi amiga que vuelve a su país de origen?<br><br>贈[おく]る - regalar, dar (como un regalo)<br><br>プレゼントする se usa sólo para objetos físicos, pero 贈[おく]る puede usarse para referirse a sentimientos de gratitud también.","[sound:JLPT_Tango_N4_0542.mp3]","","単語N4"
"このネックレスは彼からの贈り物です。","このネックレスは 彼[かれ]からの 贈[おく]り 物[もの]です。","This necklace is a gift from him.<br><br>贈り物[おくりもの] - gift, present","Este collar es un regalo de él.<br><br>贈り物[おくりもの] - regalo, presente","[sound:JLPT_Tango_N4_0543.mp3]","","単語N4"
"友達に入学のお祝いをあげました。","友達[ともだち]に 入学[にゅうがく]のお 祝[いわ]いをあげました。","I gave a present to my friend to celebrate his acceptance to a new school.<br><br>（お） 祝[いわ]い - celebration/congratulatory gift","Le di un regalo a mi amigo para celebrar su aceptación en una nueva escuela.<br><br>（お） 祝[いわ]い - Celebración/regalo de felicitación.","[sound:JLPT_Tango_N4_0544.mp3]","","単語N4"
"先生に花を渡しました。","先生[せんせい]に 花[はな]を 渡[わた]しました。","I gave the teacher flowers.<br><br>渡[わた]す - to give, to pass, to hand","Le di flores a la maestra.<br><br>渡[わた]す - dar, pasar, entregar","[sound:JLPT_Tango_N4_0545.mp3]","","単語N4"
"母は私の贈り物をとても喜んでくれました。","母[はは]は 私[わたし]の 贈[おく]り 物[もの]をとても 喜[よろこ]んでくれました。","My mother was very happy at the gift I gave her.<br><br>喜[よろこ]ぶ - to be happy, to be glad","Mi madre se alegró mucho del regalo que le hice.<br><br>喜[よろこ]ぶ - estar feliz, alegrarse","[sound:JLPT_Tango_N4_0546.mp3]","","単語N4"
"友達のお陰で毎日楽しいです。","友達[ともだち]のお 陰[かげ]で 毎日[まいにち] 楽[たの]しいです。","Every day is fun thanks to my friends.<br><br>お 陰[かげ] - thanks to ~","Cada día es divertido gracias a mis amigos.<br><br>お 陰[かげ] - gracias a ~","[sound:JLPT_Tango_N4_0547.mp3]","","単語N4"
"友達にいつも感謝しています。","友達[ともだち]にいつも 感謝[かんしゃ]しています。","I always give thanks for my friends.<br><br>感謝[かんしゃ]＜する＞ - appreciation, thanks","Siempre doy gracias por mis amigos.<br><br>感謝[かんしゃ]＜する＞ - aprecio, agradecimiento","[sound:JLPT_Tango_N4_0548.mp3]","","単語N4"
"先生にお礼の手紙を書きました。","先生[せんせい]にお 礼[れい]の 手紙[てがみ]を 書[か]きました。","I wrote a letter of gratitude to my teacher.<br><br>お 礼[れい]＜する＞ - gratitude","Escribí una carta de agradecimiento a mi profesor.<br><br>お[れい]＜する＞ - gratitud 礼[れい]＜する＞ - gratitud","[sound:JLPT_Tango_N4_0549.mp3]","","単語N4"
"自分が悪い時は謝りましょう。","自分[じぶん]が 悪[わる]い 時[とき]は 謝[あやま]りましょう。","""Be sure to apologize when you've done something wrong.<br><br>謝[あやま]る - to apologize""","Asegúrate de disculparte cuando hayas hecho algo mal.<br><br>謝[あやま]る - para disculparse","[sound:JLPT_Tango_N4_0550.mp3]","","単語N4"
"遠慮しないで、何でも言って下さい。","遠慮[えんりょ]しないで、 何[なん]でも 言[い]って 下[くだ]さい。","""Please don't hesitate to tell me anything.<br><br>遠慮[えんりょ]＜する＞ - restraint, declining<br><br>「～はご 遠慮[えんりょ]下[くだ]さい」 means please do not ~""","Por favor, no dudes en contarme cualquier cosa.<br><br>遠慮[えんりょ]＜する＞ - contención, declinación<br><br>「～はご 遠慮[えんりょ]下[くだ]さい」 significa que por favor no ~","[sound:JLPT_Tango_N4_0551.mp3]","","単語N4"
"私が髪を切ったのに、夫は気付きませんでした。","私[わたし]が 髪[かみ]を 切[き]ったのに、 夫[おっと]は 気付[きづ]きませんでした。","""I cut my hair, but my husband didn't even notice.<br><br>気付[きづ]く - to realize, to notice""","Me corté el pelo, pero mi marido no se dio cuenta.<br><br>[気付[きづ]く - darse cuenta, notar","[sound:JLPT_Tango_N4_0552.mp3]","","単語N4"
"私には親友が３人居ます。","私[わたし]には 親友[しんゆう]が３ 人[にん] 居[い]ます。","I have three close friends.<br><br>親友[しんゆう] - good friend, close friend","Tengo tres amigos íntimos.<br><br>親友[しんゆう] - buen amigo, amigo íntimo","[sound:JLPT_Tango_N4_0553.mp3]","","単語N4"
"アルバイトの先輩にいつもお世話になっています。","アルバイトの 先輩[せんぱい]にいつもお 世話[せわ]になっています。","My senior at my part-time job always looks after me.<br><br>先輩[せんぱい] - senior","Mi superior en mi trabajo a tiempo parcial siempre me cuida.<br><br>先輩[せんぱい] - superior","[sound:JLPT_Tango_N4_0554.mp3]","","単語N4"
"A「あの人達は？」<br>B「ああ、彼らは高校のクラスメートです。」","A「あの 人達[ひとたち]は？」 <br>B「ああ、 彼[かれ]らは 高校[こうこう]のクラスメートです。」","""A: Who are those people?<br>B: Oh, they're a high school classmates of mine.<br><br>彼[かれ]ら - they""","A: ¿Quiénes son esas personas? <br>B: Oh, son compañeros míos del instituto.<br><br>彼[かれ]ら - ellos","[sound:JLPT_Tango_N4_0555.mp3]","","単語N4"
"家族はみんな元気です。","家族[かぞく]はみんな 元気[げんき]です。","Everyone in my family doing all right.<br><br>みんな - everyone<br><br>「 皆[みな] 様[さま]」「 皆[みな]さん」 are more polite than 「みんな」","Todos en mi familia están bien.<br><br>みんな - todos<br><br>「 皆[みな] 様[さま]」「 皆[みな]さん」」 son más educados que 「みんな」","[sound:JLPT_Tango_N4_0556.mp3]","","単語N4"
